Brand,Battery_capacity(mAh),Screen_size(inches),Processor,RAM(GB),Internal_storage(GB),Operating system,Number of SIMs,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
oneplus,4085,7,8,12,256,android,2,58998,1440.0,3120.0,48,16
realme,4000,7,8,6,64,android,2,27999,1080.0,2400.0,64,16
apple,3969,7,6,4,64,ios,2,106900,1242.0,2688.0,12,12
apple,3110,6,6,4,64,ios,2,62900,828.0,1792.0,12,12
lg,4000,6,8,6,128,android,1,49990,1080.0,2340.0,12,32
oneplus,3800,7,8,8,128,android,2,34930,1080.0,2400.0,48,16
oneplus,4085,7,8,8,256,android,2,52990,1440.0,3120.0,48,16
samsung,4300,7,8,12,256,android,2,79699,1440.0,3040.0,12,10
asus,6000,7,8,8,128,android,1,37999,1080.0,2340.0,48,24
xiaomi,4000,6,8,6,128,android,2,23190,1080.0,2340.0,48,20
oppo,3765,7,8,6,64,android,2,23990,1080.0,2340.0,16,16
realme,3765,7,8,4,128,android,2,14999,1080.0,2340.0,48,16
xiaomi,4000,6,8,6,64,android,2,19282,1080.0,2340.0,48,20
oneplus,4000,7,8,6,128,android,2,39995,1440.0,3120.0,48,16
oppo,4065,7,8,6,128,android,2,36990,1080.0,2340.0,48,16
realme,4045,6,8,4,64,android,2,13999,1080.0,2340.0,16,25
huawei,4200,6,8,8,256,android,2,54280,1080.0,2340.0,40,32
xiaomi,4000,6,8,4,64,android,2,9799,1080.0,2340.0,48,13
huawei,4200,6,8,6,128,android,2,63990,1440.0,3120.0,40,24
lg,3300,6,8,6,128,android,2,29999,1440.0,3120.0,12,8
oneplus,3700,6,8,6,128,android,2,31999,1080.0,2340.0,16,16
apple,2942,6,6,3,64,ios,2,45499,828.0,1792.0,12,7
apple,2658,7,6,4,64,ios,2,69999,1242.0,2688.0,12,7
apple,2658,6,6,4,64,ios,2,59999,1125.0,2436.0,12,7
google,3430,6,8,4,64,android,1,47990,1440.0,2960.0,12,8
google,2915,6,8,4,64,android,1,37999,1080.0,2160.0,12,8
asus,4000,6,8,8,128,android,2,69999,1080.0,2160.0,12,8
samsung,4000,6,8,6,128,android,2,56999,1440.0,2960.0,12,8
lg,3000,6,8,6,128,android,2,37999,1440.0,3120.0,16,8
asus,5000,6,8,3,32,android,2,9990,1080.0,2160.0,13,8
huawei,4000,6,8,4,64,android,2,49990,1080.0,2240.0,40,24
oneplus,3300,6,8,6,64,android,2,34999,1080.0,2280.0,16,16
