Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
infinix,4000,6,Yes,4,3,16,android,Yes,Yes,Yes,2,No,Yes,7499,720,1280,13,5
intex,1850,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,4295,720,1280,8,8
lenovo,2300,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,5000,720,1280,8,2
lg,2500,5,Yes,4,2,16,android,Yes,Yes,No,2,Yes,Yes,6299,720,1280,8,5
oneplus,3000,6,Yes,4,6,64,android,Yes,Yes,Yes,2,Yes,Yes,22999,1080,1920,16,8
lyf,3000,6,Yes,8,2,16,android,No,Yes,Yes,2,No,Yes,7000,720,1280,13,5
jivi,2300,4,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,2550,480,800,5,2
oppo,3700,6,Yes,8,8,128,android,Yes,Yes,Yes,2,Yes,Yes,21299,1080,2340,12,25
gionee,5000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,3490,720,1280,8,2
intex,1700,5,Yes,2,0,4,android,Yes,Yes,Yes,2,Yes,No,3800,480,854,5,2
gionee,4000,5,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,4999,720,1280,13,20
lg,3000,6,Yes,8,4,64,android,Yes,Yes,Yes,1,No,No,11849,1080,2160,16,5
lava,2350,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,6600,720,1280,8,5
intex,1400,4,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,2590,480,800,2,0
lenovo,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,6000,480,854,5,2
htc,2700,6,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,7890,720,1280,13,5
honor,3100,6,Yes,8,2,16,android,Yes,Yes,Yes,1,No,No,5999,720,1280,13,8
infinix,4000,7,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,8999,720,1600,16,32
motorola,2600,6,Yes,4,4,64,android,Yes,Yes,Yes,2,Yes,Yes,11999,1440,2560,13,5
