Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
OnePlus,4085,7,Yes,8,12,256,Android,Yes,Yes,Yes,2,Yes,Yes,58998,1440,3120,48,16
Realme,4000,7,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,27999,1080,2400,64,16
Apple,3969,7,Yes,6,4,64,iOS,Yes,Yes,Yes,2,Yes,Yes,106900,1242,2688,12,12
Apple,3110,6,Yes,6,4,64,iOS,Yes,Yes,Yes,2,Yes,Yes,62900,828,1792,12,12
LG,4000,6,Yes,8,6,128,Android,Yes,Yes,Yes,1,No,No,49990,1080,2340,12,32
OnePlus,3800,7,Yes,8,8,128,Android,Yes,Yes,No,2,Yes,Yes,34930,1080,2400,48,16
OnePlus,4085,7,Yes,8,8,256,Android,Yes,Yes,Yes,2,Yes,Yes,52990,1440,3120,48,16
Samsung,4300,7,Yes,8,12,256,Android,Yes,Yes,Yes,2,Yes,Yes,79699,1440,3040,12,10
Asus,6000,7,Yes,8,8,128,Android,Yes,Yes,Yes,1,Yes,Yes,37999,1080,2340,48,24
Xiaomi,4000,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,No,No,23190,1080,2340,48,20
Oppo,3765,7,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,23990,1080,2340,16,16
Realme,3765,7,Yes,8,4,128,Android,Yes,Yes,Yes,2,Yes,Yes,14999,1080,2340,48,16
Xiaomi,4000,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,19282,1080,2340,48,20
OnePlus,4000,7,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,39995,1440,3120,48,16
Oppo,4065,7,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,36990,1080,2340,48,16
Realme,4045,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,13999,1080,2340,16,25
Huawei,4200,6,Yes,8,8,256,Android,Yes,Yes,No,2,Yes,Yes,54280,1080,2340,40,32
Xiaomi,4000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,9799,1080,2340,48,13
Huawei,4200,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,63990,1440,3120,40,24
LG,3300,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,29999,1440,3120,12,8
OnePlus,3700,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,31999,1080,2340,16,16
Apple,2942,6,Yes,6,3,64,iOS,Yes,Yes,Yes,2,Yes,Yes,45499,828,1792,12,7
Apple,2658,7,Yes,6,4,64,iOS,Yes,Yes,Yes,2,Yes,Yes,69999,1242,2688,12,7
Apple,2658,6,Yes,6,4,64,iOS,Yes,Yes,Yes,2,Yes,Yes,59999,1125,2436,12,7
Google,3430,6,Yes,8,4,64,Android,Yes,Yes,Yes,1,Yes,Yes,47990,1440,2960,12,8
Google,2915,6,Yes,8,4,64,Android,Yes,Yes,Yes,1,Yes,Yes,37999,1080,2160,12,8
Asus,4000,6,Yes,8,8,128,Android,Yes,Yes,Yes,2,Yes,Yes,69999,1080,2160,12,8
Samsung,4000,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,56999,1440,2960,12,8
LG,3000,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,37999,1440,3120,16,8
Asus,5000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,9990,1080,2160,13,8
Huawei,4000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,No,Yes,49990,1080,2240,40,24
OnePlus,3300,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,34999,1080,2280,16,16
Asus,3300,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,18999,1080,2246,12,8
Xiaomi,4000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,9349,1080,2160,12,20
Nokia,3800,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,12000,1080,2160,12,16
Samsung,3500,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,29999,1440,2960,12,8
Samsung,3000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,26999,1440,2960,12,8
HTC,3930,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,52990,1440,2560,12,8
Samsung,3300,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,49999,1440,2960,12,8
Apple,1821,5,Yes,6,2,64,iOS,Yes,Yes,Yes,1,Yes,Yes,36999,750,1334,12,7
Apple,2691,6,Yes,6,3,64,iOS,Yes,Yes,Yes,1,Yes,Yes,47000,1080,1920,12,7
Apple,2716,6,Yes,6,3,64,iOS,Yes,Yes,Yes,1,Yes,Yes,69999,1125,2436,12,7
Motorola,2730,6,Yes,8,6,64,Android,Yes,Yes,Yes,1,Yes,Yes,20999,1440,2560,12,5
HTC,3000,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,53990,1440,2560,12,16
Nokia,3090,5,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,14994,1440,2560,13,13
Samsung,3500,6,Yes,8,4,64,Android,Yes,Yes,Yes,1,Yes,Yes,30000,1440,2960,12,8
Samsung,3000,6,Yes,8,4,64,Android,Yes,Yes,Yes,1,Yes,Yes,26994,1440,2960,12,8
LG,3300,6,Yes,1,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,23990,1440,2880,13,5
OnePlus,3400,6,Yes,4,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,19999,1080,1920,16,16
Samsung,4000,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,No,Yes,16999,1080,1920,16,16
Google,3450,6,Yes,4,4,32,Android,Yes,Yes,Yes,1,Yes,Yes,30990,1440,2560,12,8
Apple,2900,6,Yes,4,3,32,iOS,Yes,Yes,Yes,1,Yes,Yes,34999,1080,1920,12,7
Apple,1960,5,Yes,4,2,32,iOS,Yes,Yes,Yes,1,Yes,Yes,27999,750,1334,12,7
Honor,3000,5,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,20246,1080,1920,12,8
OnePlus,3000,6,Yes,4,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,22999,1080,1920,16,8
Asus,3000,6,Yes,4,6,256,Android,Yes,Yes,Yes,2,Yes,Yes,44999,1080,1920,23,8
Xiaomi,3000,5,Yes,4,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,24999,1080,1920,16,4
Samsung,3600,6,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,39996,1440,2560,12,5
Samsung,3000,5,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,23999,1440,2560,12,5
Motorola,3760,5,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,6994,1440,2560,21,5
Huawei,3450,6,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,42998,1440,2560,12,8
Apple,2750,6,Yes,1,2,16,iOS,Yes,Yes,Yes,1,Yes,Yes,25990,1080,1920,12,5
