Brand,Battery capacity,Screen size,Resolution,Processor,RAM,Internal storage,Camera,Operating system,Number of SIMs,Price
OnePlus,4085 mAh,7 inch,1440 x 3120 px,8,12000 mb,256 GB,48 MP Rear +  16 MP Front Camera,Android,2,58998
Realme,4000 mAh,7 inch,1080 x 2400 px,8,6000 mb,64 GB,64 MP Rear +  16 MP Front Camera,Android,2,27999
Apple,3969 mAh,7 inch,1242 x 2688 px,6,4000 mb,64 GB,12 MP Rear +  12 MP Front Camera,iOS,2,106900
Apple,3110 mAh,6 inch,828 x 1792 px,6,4000 mb,64 GB,12 MP Rear +  12 MP Front Camera,iOS,2,62900
LG,4000 mAh,6 inch,1080 x 2340 px,8,6000 mb,128 GB,12 MP Rear +  32 MP Front Camera,Android,1,49990
OnePlus,3800 mAh,7 inch,1080 x 2400 px,8,8000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,2,34930
OnePlus,4085 mAh,7 inch,1440 x 3120 px,8,8000 mb,256 GB,48 MP Rear +  16 MP Front Camera,Android,2,52990
Samsung,4300 mAh,7 inch,1440 x 3040 px,8,12000 mb,256 GB,12 MP Rear +  10 MP Front Camera,Android,2,79699
Asus,6000 mAh,7 inch,1080 x 2340 px,8,8000 mb,128 GB,48 MP Rear +  24 MP Front Camera,Android,1,37999
Xiaomi,4000 mAh,6 inch,1080 x 2340 px,8,6000 mb,128 GB,48 MP Rear +  20 MP Front Camera,Android,2,23190
Oppo,3765 mAh,7 inch,1080 x 2340 px,8,6000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,23990
Realme,3765 mAh,7 inch,1080 x 2340 px,8,4000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,2,14999
Xiaomi,4000 mAh,6 inch,1080 x 2340 px,8,6000 mb,64 GB,48 MP Rear +  20 MP Front Camera,Android,2,19282
OnePlus,4000 mAh,7 inch,1440 x 3120 px,8,6000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,2,39995
Oppo,4065 mAh,7 inch,1080 x 2340 px,8,6000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,2,36990
Realme,4045 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,16 MP Rear +  25 MP Front Camera,Android,2,13999
Huawei,4200 mAh,6 inch,1080 x 2340 px,8,8000 mb,256 GB,40 MP Rear +  32 MP Front Camera,Android,2,54280
Xiaomi,4000 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,48 MP Rear +  13 MP Front Camera,Android,2,9799
Huawei,4200 mAh,6 inch,1440 x 3120 px,8,6000 mb,128 GB,40 MP Rear +  24 MP Front Camera,Android,2,63990
LG,3300 mAh,6 inch,1440 x 3120 px,8,6000 mb,128 GB,12 MP Rear +  8 MP Front Camera,Android,2,29999
OnePlus,3700 mAh,6 inch,1080 x 2340 px,8,6000 mb,128 GB,16 MP Rear +  16 MP Front Camera,Android,2,31999
Apple,2942 mAh,6 inch,828 x 1792 px,6,3000 mb,64 GB,12 MP Rear +  7 MP Front Camera,iOS,2,45499
Apple,2658 mAh,7 inch,1242 x 2688 px,6,4000 mb,64 GB,12 MP Rear +  7 MP Front Camera,iOS,2,69999
Apple,2658 mAh,6 inch,1125 x 2436 px,6,4000 mb,64 GB,12 MP Rear +  7 MP Front Camera,iOS,2,59999
Google,3430 mAh,6 inch,1440 x 2960 px,8,4000 mb,64 GB,12.2 MP Rear +  8 MP Front Camera,Android,1,47990
Google,2915 mAh,6 inch,1080 x 2160 px,8,4000 mb,64 GB,12.2 MP Rear +  8 MP Front Camera,Android,1,37999
Asus,4000 mAh,6 inch,1080 x 2160 px,8,8000 mb,128 GB,12 MP Rear +  8 MP Front Camera,Android,2,69999
Samsung,4000 mAh,6 inch,1440 x 2960 px,8,6000 mb,128 GB,12 MP Rear +  8 MP Front Camera,Android,2,56999
LG,3000 mAh,6 inch,1440 x 3120 px,8,6000 mb,128 GB,16 MP Rear +  8 MP Front Camera,Android,2,37999
