Brand,Battery_capacity(mAh),Screen_size(inches),Processor,Operating system,Resolution_height(px),Price,Internal_storage(GB),Resolution_width(px),Rear_Camera(MP),Front_Camera(MP),RAM(GB),Number of SIMs
oneplus,4085,7,8,android,3120.0,10.985275773591676,5.54907608489522,7.273092595999522,3.8918202981106265,2.833213344056216,2.5649493574615367,16
realme,4000,7,8,android,2400.0,10.239959789157341,4.174387269895637,6.985641817639208,4.174387269895637,2.833213344056216,1.9459101490553132,16
apple,3969,7,6,ios,2688.0,11.579658451506333,4.174387269895637,7.1252830915107115,2.5649493574615367,2.5649493574615367,1.6094379124341003,16
apple,3110,6,6,ios,1792.0,11.049317340813348,4.174387269895637,6.720220155135295,2.5649493574615367,2.5649493574615367,1.6094379124341003,16
lg,4000,6,8,android,2340.0,10.819598268208338,4.859812404361672,6.985641817639208,2.5649493574615367,3.4965075614664802,1.9459101490553132,1
oneplus,3800,7,8,android,2400.0,10.461129966077028,4.859812404361672,6.985641817639208,3.8918202981106265,2.833213344056216,2.1972245773362196,16
oneplus,4085,7,8,android,3120.0,10.87787736679393,5.54907608489522,7.273092595999522,3.8918202981106265,2.833213344056216,2.1972245773362196,16
samsung,4300,7,8,android,3040.0,11.286024864778307,5.54907608489522,7.273092595999522,2.5649493574615367,2.3978952727983707,2.5649493574615367,16
asus,6000,7,8,android,2340.0,10.545341438708522,4.859812404361672,6.985641817639208,3.8918202981106265,3.2188758248682006,2.1972245773362196,1
xiaomi,4000,6,8,android,2340.0,10.05151955135521,4.859812404361672,6.985641817639208,3.8918202981106265,3.044522437723423,1.9459101490553132,16
oppo,3765,7,8,android,2340.0,10.085434038999999,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.9459101490553132,16
realme,3765,7,8,android,2340.0,9.615805480084347,4.859812404361672,6.985641817639208,3.8918202981106265,2.833213344056216,1.6094379124341003,16
xiaomi,4000,6,8,android,2340.0,9.866979157719605,4.174387269895637,6.985641817639208,3.8918202981106265,3.044522437723423,1.9459101490553132,16
oneplus,4000,7,8,android,3120.0,10.59653472809574,4.859812404361672,7.273092595999522,3.8918202981106265,2.833213344056216,1.9459101490553132,16
oppo,4065,7,8,android,2340.0,10.518429918794682,4.859812404361672,6.985641817639208,3.8918202981106265,2.833213344056216,1.9459101490553132,16
realme,4045,6,8,android,2340.0,9.546812608597396,4.174387269895637,6.985641817639208,2.833213344056216,3.258096538021482,1.6094379124341003,16
huawei,4200,6,8,android,2340.0,10.901929536770998,5.54907608489522,6.985641817639208,3.713572066704308,3.4965075614664802,2.1972245773362196,16
xiaomi,4000,6,8,android,2340.0,9.190137664658664,4.174387269895637,6.985641817639208,3.8918202981106265,2.6390573296152584,1.6094379124341003,16
